path,category,contrast,homogeneity,energy,correlation,entropy,height_mean,height_std,hist_entropy,gradient_mean
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 65_height.png,Bark,4.627811,0.524508,0.078697,0.972662,2.132622,0.494657,0.146007,5.818599,0.012129
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 66_height.png,Bark,2.266850,0.631321,0.120193,0.962915,1.071361,0.501640,0.087098,3.798727,0.008411
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 67_height.png,Bark,4.985308,0.519414,0.077958,0.969054,2.481736,0.472882,0.142012,6.000000,0.012398
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 68_height.png,Bark,3.464889,0.562243,0.096802,0.970176,1.898387,0.508410,0.120520,5.405410,0.010715
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 69_height.png,Bark,7.914268,0.472603,0.071466,0.958343,2.799892,0.503262,0.154804,5.787349,0.015589
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 70_height.png,Bark,11.632728,0.414753,0.052091,0.970814,3.411882,0.473037,0.223938,6.000000,0.019322
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 71_height.png,Bark,1.890017,0.650433,0.171353,0.915630,0.923775,0.502304,0.052330,3.297285,0.007667
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 72_height.png,Bark,6.491507,0.451810,0.066989,0.960904,2.350057,0.486884,0.144192,5.692946,0.015655
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 73_height.png,Bark,1.556905,0.657365,0.169480,0.927265,0.760977,0.502834,0.051163,3.194923,0.007076
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 74_height.png,Bark,8.319231,0.431318,0.065258,0.961823,3.087564,0.483408,0.165159,6.000000,0.017279
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 75_height.png,Bark,2.578335,0.606453,0.107943,0.966014,1.292511,0.507166,0.097345,4.374345,0.009130
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 76_height.png,Bark,9.540412,0.416111,0.060882,0.950547,2.639833,0.500745,0.155833,5.818599,0.018246
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 77_height.png,Bark,14.716831,0.379722,0.046572,0.964853,3.585900,0.468135,0.228896,6.000000,0.021856
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 78_height.png,Bark,1.426753,0.682169,0.181111,0.919527,0.601693,0.518001,0.046460,2.567818,0.006401
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 79_height.png,Bark,6.544571,0.487825,0.066817,0.973381,2.451080,0.496421,0.175718,5.818599,0.014048
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 7_height.png,Bark,5.150789,0.503932,0.087500,0.937468,1.725914,0.504832,0.101185,4.558771,0.013097
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 80_height.png,Bark,9.121248,0.411139,0.055731,0.964651,3.056361,0.481018,0.179692,6.000000,0.018180
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 81_height.png,Bark,1.372197,0.692699,0.146594,0.975702,1.117209,0.495913,0.083671,4.185994,0.006443
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 82_height.png,Bark,7.160550,0.476356,0.071066,0.962817,2.363294,0.481482,0.155700,5.625000,0.014969
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 83_height.png,Bark,8.661974,0.433858,0.061969,0.967746,2.883882,0.486474,0.184113,5.968750,0.017026
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 84_height.png,Bark,6.058224,0.495472,0.059006,0.982399,2.953883,0.473566,0.208378,5.968750,0.013771
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 85_height.png,Bark,9.407712,0.469086,0.065215,0.957478,3.061051,0.481503,0.166503,5.818599,0.016436
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 86_height.png,Bark,1.431241,0.667478,0.178416,0.918097,0.601777,0.515255,0.046063,2.567818,0.007017
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 87_height.png,Bark,4.689399,0.525482,0.112427,0.885653,1.342627,0.542202,0.071137,3.896782,0.012378
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 88_height.png,Bark,8.077054,0.459934,0.058962,0.977842,3.348346,0.476767,0.213884,6.000000,0.015745
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 89_height.png,Bark,6.137894,0.472680,0.071212,0.960623,2.151655,0.486993,0.139600,5.480949,0.014735
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 90_height.png,Bark,9.886756,0.424252,0.060274,0.954462,3.127252,0.482324,0.165026,5.968750,0.018246
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 91_height.png,Bark,9.602356,0.417142,0.058639,0.955075,2.682200,0.482084,0.163818,5.625000,0.018363
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 92_height.png,Bark,5.203373,0.504073,0.092105,0.931675,1.688856,0.570366,0.097658,4.374345,0.013173
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 93_height.png,Bark,1.565728,0.662591,0.155200,0.939537,0.809558,0.512208,0.056345,3.194923,0.007096
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 94_height.png,Bark,7.847338,0.444266,0.069469,0.947114,2.273078,0.503337,0.136719,5.374160,0.016538
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 95_height.png,Bark,4.401936,0.518913,0.090169,0.950934,1.638238,0.526760,0.105894,4.374345,0.012126
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 96_height.png,Bark,0.666854,0.791877,0.234301,0.953904,0.573647,0.514437,0.041945,2.673795,0.003996
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 97_height.png,Bark,1.876125,0.624661,0.167777,0.875982,0.549558,0.509957,0.042842,2.354228,0.009087
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 98_height.png,Bark,2.487682,0.626229,0.090917,0.987636,2.026554,0.487367,0.159251,5.554229,0.008694
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 99_height.png,Bark,5.039504,0.509736,0.079211,0.961109,2.081421,0.496137,0.127246,5.480949,0.012734
D:\homework\lund\CS_project\dataset_split\heightmap\Bark__bark 9_height.png,Bark,3.984728,0.535299,0.099837,0.944688,1.598725,0.506993,0.094549,4.827209,0.011520
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__cherry_chevron_floor_34_60_height.jpg,Flooring,0.428312,0.856757,0.479073,0.633992,0.075620,0.507499,0.011308,0.691205,0.003682
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__cherry_herringbone_floor_34_34_height.jpg,Flooring,0.531080,0.806570,0.447464,0.525925,0.087107,0.507613,0.010864,0.691205,0.004635
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__cherry_herringbone_floor_34_35_height.jpg,Flooring,0.548440,0.803112,0.447837,0.504661,0.088049,0.507758,0.010799,0.691205,0.004687
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__cherry_small_regular_floor_34_75_height.jpg,Flooring,1.131946,0.675232,0.428990,0.095774,0.095348,0.489371,0.011628,0.691205,0.007760
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__cherry_wood_regular_floor_34_12_height.jpg,Flooring,0.444898,0.825986,0.556996,0.334597,0.080862,0.493352,0.007826,0.691205,0.003720
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_oak_beveled_floor_34_84_height.jpg,Flooring,4.829013,0.757102,0.476669,0.298955,0.362634,0.498035,0.028796,1.559487,0.012420
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_oak_chevron_floor_34_55_height.jpg,Flooring,0.515076,0.820769,0.440623,0.581009,0.095792,0.519311,0.011624,0.691205,0.004706
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_oak_regular_floor_34_05_height.jpg,Flooring,0.599527,0.775121,0.462921,0.292920,0.104091,0.505885,0.009029,0.805082,0.005086
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_old_wood_tiles_1_height.png,Flooring,1.141347,0.708037,0.291890,0.654905,0.370644,0.341925,0.021269,1.590737,0.007463
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_old_wood_tiles_2_height.png,Flooring,4.793624,0.562460,0.139437,0.788248,1.131650,0.378383,0.053820,2.673795,0.013389
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_old_wood_tiles_3_height.png,Flooring,7.066052,0.498132,0.120327,0.694193,1.303395,0.582864,0.053462,2.642545,0.017336
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_pecan_chevron_floor_34_59_height.jpg,Flooring,0.422652,0.857010,0.486686,0.618420,0.074608,0.507128,0.010971,0.691205,0.003676
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_pecan_herringbone_floor_34_33_height.jpg,Flooring,0.540484,0.801111,0.447083,0.506117,0.076318,0.507513,0.010746,0.691205,0.004771
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_pecan_regular_floor_34_10_height.jpg,Flooring,0.446404,0.826594,0.556375,0.335233,0.088344,0.493381,0.007915,0.576938,0.003770
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_shiny_wood_tiles_1_height.png,Flooring,1.320044,0.856746,0.302362,0.840532,0.373009,0.540184,0.031504,1.479786,0.004424
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_shiny_wood_tiles_2_height.png,Flooring,1.062814,0.792444,0.262732,0.859840,0.335660,0.541335,0.030079,1.368393,0.005182
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_shiny_wood_tiles_3_height.png,Flooring,1.651754,0.790290,0.236571,0.880316,0.397916,0.520613,0.041053,1.479786,0.005874
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_shiny_wood_tiles_4_height.png,Flooring,0.371279,0.880468,0.484893,0.703277,0.076632,0.262459,0.011637,0.576938,0.002902
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_shiny_wood_tiles_5_height.png,Flooring,4.277517,0.748327,0.211066,0.746311,0.923986,0.598412,0.045783,2.246641,0.009048
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_shiny_wood_tiles_6_height.png,Flooring,4.472814,0.741746,0.203535,0.757702,1.010751,0.597172,0.047966,2.430042,0.009293
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_shiny_wood_tiles_7_height.png,Flooring,4.508953,0.698002,0.194133,0.735731,0.853904,0.598824,0.046064,2.246641,0.010443
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_shiny_wood_tiles_8_height.png,Flooring,5.286679,0.744414,0.202930,0.727718,1.217150,0.586546,0.048908,2.747958,0.009887
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_wood_tiles_10_height.png,Flooring,4.328250,0.744367,0.229695,0.657711,0.757067,0.565821,0.039177,2.138541,0.009430
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_wood_tiles_11_height.png,Flooring,4.307979,0.749149,0.229300,0.667579,0.684905,0.561931,0.039724,1.920849,0.009247
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_wood_tiles_12_height.png,Flooring,2.302657,0.771895,0.246913,0.761290,0.535682,0.566221,0.034174,1.701238,0.006741
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_wood_tiles_13_height.png,Flooring,3.630887,0.695397,0.211856,0.669504,0.606817,0.566236,0.036492,1.701238,0.009708
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_wood_tiles_14_height.png,Flooring,3.722006,0.672750,0.200259,0.697701,0.661430,0.564093,0.038680,1.920849,0.010025
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_wood_tiles_1_height.png,Flooring,4.685595,0.687518,0.183056,0.735266,1.148421,0.600869,0.046941,2.779208,0.010615
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_wood_tiles_2_height.png,Flooring,5.245398,0.652939,0.160015,0.765854,1.149572,0.595716,0.052904,2.642545,0.011592
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_wood_tiles_3_height.png,Flooring,6.280257,0.623247,0.153321,0.728753,1.239326,0.595697,0.053819,2.567818,0.013083
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_wood_tiles_4_height.png,Flooring,5.530095,0.688436,0.183303,0.698135,1.093584,0.586856,0.047540,2.461292,0.011351
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_wood_tiles_5_height.png,Flooring,8.501948,0.619406,0.162871,0.609796,1.064970,0.585402,0.051774,2.354228,0.015380
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_wood_tiles_6_height.png,Flooring,8.482300,0.605015,0.154725,0.616659,1.077795,0.583258,0.052209,2.461292,0.015684
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_wood_tiles_7_height.png,Flooring,8.498294,0.609669,0.155668,0.625298,1.069640,0.585123,0.052959,2.536568,0.015600
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_wood_tiles_8_height.png,Flooring,5.180826,0.636820,0.175089,0.665950,0.825368,0.564287,0.043496,2.215391,0.012232
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__dark_wood_tiles_9_height.png,Flooring,4.217088,0.692938,0.208446,0.654545,0.642311,0.567302,0.038543,1.811278,0.010440
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__elm wood_chevron_floor_34_70_height.jpg,Flooring,0.399260,0.863683,0.491080,0.641837,0.076126,0.506703,0.011067,0.691205,0.003522
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__elm wood_regular_floor_34_23_height.jpg,Flooring,0.458860,0.822718,0.549530,0.330278,0.083680,0.493236,0.007907,0.576938,0.003784
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__elm wood_regular_floor_34_24_height.jpg,Flooring,0.459475,0.823935,0.555202,0.327248,0.090648,0.493275,0.007929,0.691205,0.003774
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__elm_basket_floor_34_100_height.jpg,Flooring,0.934131,0.725395,0.351889,0.465105,0.138773,0.506774,0.014028,0.691205,0.006043
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__elm_beveled_floor_34_94_height.jpg,Flooring,4.584599,0.792199,0.635803,0.287157,0.336039,0.490877,0.027884,1.590737,0.011454
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__elm_beveled_floor_34_95_height.jpg,Flooring,4.587989,0.793595,0.630283,0.286881,0.334135,0.491503,0.027947,1.590737,0.011429
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__elm_herringbone_floor_34_48_height.jpg,Flooring,0.545688,0.800584,0.446192,0.502740,0.076029,0.507677,0.010746,0.691205,0.004747
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__elm_herringbone_floor_34_49_height.jpg,Flooring,0.540757,0.800529,0.450295,0.495651,0.074021,0.507911,0.010655,0.691205,0.004766
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__elm_herringbone_floor_34_50_height.jpg,Flooring,0.544308,0.803402,0.446882,0.512257,0.085518,0.507923,0.010845,0.691205,0.004678
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__elm_small_regular_floor_34_81_height.jpg,Flooring,1.136731,0.669393,0.405863,0.101438,0.092916,0.487972,0.011618,0.691205,0.007784
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__grey_poplar_herringbone_floor_34_37_height.jpg,Flooring,0.536338,0.806921,0.453003,0.508225,0.087757,0.507881,0.010761,0.691205,0.004657
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__light_old_wood_tiles_1_height.png,Flooring,1.148037,0.708791,0.285482,0.675413,0.401502,0.341050,0.021907,1.846554,0.007316
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__light_pecan_regular_floor_34_11_height.jpg,Flooring,0.445043,0.826676,0.560971,0.329530,0.086513,0.493423,0.007812,0.691205,0.003745
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__light_pine_regular_floor_34_06_height.jpg,Flooring,0.513470,0.805234,0.560463,0.272891,0.085536,0.495747,0.008494,0.691205,0.004559
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__light_poplar_regular_floor_34_13_height.jpg,Flooring,0.459765,0.825579,0.568925,0.322041,0.088051,0.494225,0.008120,0.691205,0.003815
D:\homework\lund\CS_project\dataset_split\heightmap\Flooring__light_shiny_wood_tiles_1_height.png,Flooring,0.368371,0.882444,0.484435,0.709825,0.089236,0.262251,0.011625,0.576938,0.002859
